sido,sigungu,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
전라남도,목포,442,538.03,579.27,658.85,720.74,778.5,838.11,854.11,926.96,920.35,972.61,1037.17,1078.06,1100.12,1118.49,1129.8,1155.52,1209.6,1193.46
전라남도,여수,1047,1176.45,1310.83,1404.87,1529.43,1663.5,1704.84,1833.74,1819.85,1990.59,2005.36,2041.13,2160.71,2157.03,2183.86,2323.3,2343.22,2338.82,2360.25
전라남도,순천,943,1179.79,1384.63,1602.55,1749.3,1896.36,2002.14,2184.03,2293.44,2434.28,2553.43,2674.65,2725.27,2896.47,2856.4,3020.58,3134.2,3107.74,3133.09
전라남도,나주,555,713.22,818.62,967.05,1083.7,1151.72,1235.36,1371.3,1430.06,1524.48,1593.54,1668.1,1719.07,1698.97,1785.9,1810.71,1868.68,1909.28,1980.57
전라남도,광양,1310,1393.16,1463.16,1601.59,1620.57,1736.23,1821.57,1889.14,1909.92,1983.02,1934.79,1981.21,2063.39,2170.13,2193.09,2143.52,2253.5,2247.24,2318.61
전라남도,담양,248,288.08,315.92,350.07,364.48,390.46,412.8,443.73,463.2,480.73,490.69,508.33,531.57,538.72,551.05,561.59,578.22,600.6,594.35
전라남도,곡성,122,141.63,161.09,178.39,193.25,202.37,210.7,229.11,242.76,244.56,252.84,258.61,268.66,276.31,283.56,292.07,310.22,301.83,322.18
전라남도,구례,163,167.06,176.04,186.12,187.11,204.2,207.27,214.38,209.22,221.32,216.67,228.05,233.45,226.88,235.56,232.14,239.19,247.4,242.63
전라남도,고흥,223,247.35,273.51,289.92,297.09,310.8,324.98,334.7,363.72,360.85,370.62,376.41,398.57,408.49,417.28,414.04,414.15,431.58,452.25
전라남도,보성,162,187.97,204.44,214.07,225.88,244.61,260.5,261.51,276.08,281.34,290.67,303.28,313.73,316.35,324.82,328.54,341.22,345.21,352.93
전라남도,화순,163,194.54,227.48,247.59,271.39,289.36,322.19,331.74,343.37,362.17,367.77,391.94,411.47,422.5,419.51,446.81,451.92,466.62,463.18
전라남도,장흥,174,198.26,208.07,226.57,233.57,250.82,257.84,276.33,287.63,284.59,305.96,307.53,313.58,331.65,319.46,333.17,332.71,341.37,344.62
전라남도,강진,166,182.76,189.46,198.79,214.2,219.88,231.13,232.42,241.96,245.47,250.04,261.19,264.84,269.44,268.11,278.58,282.37,287.06,290.97
전라남도,해남,255,272.84,291.27,314.09,326.14,342.34,346.89,366.06,377.57,384.26,391.69,411.36,407.52,429.08,440.68,428.71,435.66,454.06,445.2
전라남도,영암,209,252.23,281.14,331.77,358.97,392.03,407.2,427.09,457.4,470.64,488.02,514.49,538.88,551.99,565.78,575.71,578.16,606.9,607.04
전라남도,무안,284,359.61,417.68,495.75,546.42,591.37,624.66,651.12,705.77,752.63,790.25,807.5,814.07,844.04,881.66,895.41,930.08,976.81,980.93
전라남도,함평,170,191.22,202.92,221.94,234.37,249.36,270.08,273.78,283.73,301.63,303.25,316.2,319.84,329.83,331.95,348.04,355.9,354.73,354.91
전라남도,영광,317,408.97,473.87,528.78,596.54,649.29,703.1,733.45,806.23,827.34,866.8,896.82,966.24,971.93,1014.42,1062.93,1092.33,1115.86,1133.33
전라남도,장성,167,197.7,230.96,264.12,284.12,307.21,328.8,348.88,359.8,379.13,380.71,399.55,417.45,437.16,436.84,437.97,451.93,485.49,478.63
전라남도,완도,155,163.71,178.35,190.33,194.97,202.64,217.15,217.02,223.64,230.79,236.67,252.63,252.61,255.73,261.43,261.98,276.96,267.46,281.45
전라남도,진도,163,170.88,180.32,189.55,190.47,196.78,209.51,204.94,207.39,216.64,216.51,225.81,223.14,225.17,229.12,235.76,238.52,236.18,252.5
전라남도,신안,161,172.98,193.0,196.99,210.64,221.73,227.83,231.84,244.85,252.17,256.61,267.76,277.87,277.95,283.54,290.49,295.93,298.64,299.74
