sido,sigungu,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
서울특별시,강남구,13703,14411.27,14661.51,15215.98,15311.9,15060.8,15271.22,15652.85,15842.8,16195.63,16952.84,16602.91,16686.22,16753.43,16779.3,17779.75,17676.61,17931.46,17418.56
서울특별시,강동구,1720,1770.46,1827.58,1857.67,1959.21,1891.99,1927.14,2022.23,2042.81,2036.56,2077.23,2135.98,2105.49,2158.45,2218.09,2244.16,2267.34,2173.12,2246.75
서울특별시,강북구,724,762.14,764.58,764.92,799.46,810.98,813.03,846.98,843.69,865.52,899.94,881.75,868.23,895.83,923.63,922.09,944.69,937.3,940.85
서울특별시,강서구,2317,2428.67,2453.98,2551.02,2491.45,2690.02,2704.53,2744.25,2699.52,2705.94,2815.35,2756.12,2836.24,2811.92,2923.98,2992.0,2978.38,3076.3,3080.59
서울특별시,관악구,1052,1095.59,1137.29,1168.5,1195.33,1220.53,1234.63,1193.63,1276.14,1230.46,1275.02,1304.53,1334.77,1330.41,1316.37,1368.36,1318.83,1378.18,1363.51
서울특별시,광진구,811,843.5,858.25,870.74,877.38,905.06,919.25,930.71,972.4,985.44,996.72,1010.44,1007.84,1021.04,1049.58,1033.26,1040.27,1015.79,1066.0
서울특별시,구로구,4210,4266.64,4568.46,4558.47,4788.17,4858.95,4854.29,4816.15,4960.61,4899.11,5128.2,5021.69,5210.9,5373.06,5208.62,5294.88,5279.61,5397.62,5504.83
서울특별시,금천구,779,827.82,806.25,835.63,867.36,889.01,904.59,925.03,925.17,930.8,965.39,979.91,980.2,990.75,987.3,1000.59,1013.94,1020.51,1027.08
서울특별시,노원구,1211,1268.81,1274.53,1276.27,1314.72,1400.85,1384.65,1420.52,1465.22,1480.07,1473.77,1446.67,1499.7,1482.76,1518.13,1498.45,1549.14,1588.36,1546.08
서울특별시,도봉구,819,833.54,842.23,882.78,881.51,922.96,952.93,961.16,988.71,972.05,965.03,974.55,1000.75,991.56,1036.58,1046.49,1019.51,1055.12,1049.43
서울특별시,동대문구,820,864.47,871.23,885.26,921.99,898.11,947.94,978.17,976.13,963.15,968.67,982.64,994.29,1007.19,1051.41,1049.8,1031.71,1039.73,1086.9
서울특별시,동작구,932,969.11,976.3,1029.46,1005.17,1066.73,1051.96,1090.08,1108.32,1115.3,1145.29,1124.32,1119.14,1149.67,1205.54,1194.6,1222.78,1180.84,1220.98
서울특별시,마포구,1390,1412.76,1491.11,1517.11,1549.55,1531.56,1554.94,1665.75,1629.05,1683.07,1664.8,1690.31,1760.06,1690.21,1719.66,1818.14,1826.0,1803.87,1795.11
서울특별시,서대문구,861,906.19,905.21,933.82,948.89,974.17,971.66,1002.18,992.21,1026.12,1049.16,1083.65,1065.72,1105.68,1065.19,1080.63,1103.36,1104.58,1126.75
서울특별시,서초구,3880,4072.58,4039.5,4222.91,4178.94,4316.71,4385.01,4607.94,4518.6,4699.96,4711.02,4691.48,4814.3,4948.37,4848.37,4825.2,4975.82,4988.42,4931.39
서울특별시,성동구,1675,1728.82,1804.51,1819.84,1897.94,1916.89,1903.36,1933.53,2011.94,1984.99,2071.82,2002.01,2125.13,2088.66,2064.28,2076.69,2173.86,2110.57,2122.96
서울특별시,성북구,1154,1168.44,1243.94,1238.56,1283.87,1337.09,1351.63,1374.14,1325.78,1407.26,1386.43,1377.14,1409.04,1428.97,1469.07,1439.45,1485.35,1525.77,1504.71
서울특별시,송파구,2540,2581.39,2655.21,2834.92,2800.69,2906.97,2852.36,2994.89,3038.47,3091.55,3112.71,3134.8,3053.62,3082.63,3119.61,3179.31,3314.37,3259.41,3301.26
서울특별시,양천구,1376,1403.3,1421.78,1450.62,1563.16,1561.3,1570.22,1599.77,1616.08,1659.92,1648.53,1675.74,1732.91,1733.2,1744.55,1700.8,1762.07,1750.07,1816.73
서울특별시,영등포구,2679,2813.72,2794.11,2904.62,2977.35,3060.97,2981.1,3159.32,3197.63,3210.5,3299.39,3268.88,3221.54,3334.7,3371.22,3440.55,3354.28,3389.74,3551.67
서울특별시,용산구,910,942.59,974.0,967.47,995.44,1043.66,1059.41,1041.9,1073.42,1085.13,1127.57,1146.38,1144.96,1155.08,1143.6,1128.7,1143.61,1204.58,1206.41
서울특별시,은평구,1199,1207.68,1279.75,1335.13,1347.87,1332.92,1369.69,1405.16,1446.86,1424.03,1435.44,1470.39,1493.89,1463.04,1478.38,1504.16,1530.69,1528.64,1579.52
서울특별시,종로구,692,694.14,720.08,744.37,753.99,792.99,805.02,794.05,796.67,837.81,858.29,850.25,868.72,882.77,880.03,897.47,894.58,916.22,891.11
서울특별시,중 구,1059,1067.11,1112.61,1180.04,1206.72,1203.38,1237.47,1256.03,1214.0,1300.69,1268.7,1323.07,1303.83,1321.83,1361.12,1363.29,1327.15,1398.79,1379.66
서울특별시,중랑구,1077,1096.36,1136.51,1152.37,1198.14,1179.59,1243.7,1228.98,1282.42,1279.11,1336.81,1355.18,1296.01,1331.89,1322.25,1337.59,1401.31,1410.65,1389.36
