시군명,전기승용 24년 6월,전기승용 23년,전기승용 22년,전기승용 21년,전기승용 20년,전기승용 19년,전기승용 18년,전기승용 17년,전기승용 16년,전기승용 15년까지,전기화물 24년 6월,전기화물 23년,전기화물 22년,전기화물 21년,전기화물 20년,전기굴착기 22년,전기이륜 24년 6월,전기이륜 23년,전기이륜 22년,전기이륜 21년,전기이륜 20년,전기이륜 19년,전기이륜 18년까지,전기버스 23년6월,전기버스 22년,전기버스 21년,전기버스 20년
목포,932,892,442,106,72,60,69,51,0,3,222,216,58,22,4,0,120,121,35,20,21,21,4,1,0,0,0
여수,1851,1583,1047,258,175,233,96,45,20,6,741,689,259,152,70,0,367,366,130,130,127,72,20,3,2,0,0
순천,2483,2257,943,251,365,260,155,208,92,61,560,480,134,81,67,0,275,276,150,100,52,25,0,4,4,0,5
나주,1534,1438,555,202,206,290,183,131,503,11,480,419,155,80,40,1,397,402,100,150,99,32,50,0,5,0,4
광양,1752,1499,1310,125,118,100,10,53,5,6,666,628,300,90,75,10,200,205,80,30,24,21,9,5,12,8,0
담양,459,402,248,80,12,13,13,7,1,4,247,203,67,50,11,0,123,125,40,20,53,0,0,0,0,0,4
곡성,243,226,122,40,5,5,5,4,0,1,183,153,39,50,10,0,64,59,12,20,21,5,0,0,4,0,0
구례,189,175,163,23,11,8,7,6,0,1,69,69,41,15,0,0,171,170,50,50,0,32,0,1,3,0,0
고흥,338,310,223,53,29,8,11,5,0,1,207,176,52,20,7,0,183,204,60,110,74,17,17,0,0,0,0
보성,273,247,162,36,10,5,1,2,0,1,135,113,46,13,0,0,108,106,25,20,24,21,10,0,2,0,0
화순,361,291,163,40,45,12,15,5,0,2,180,138,64,10,0,0,85,83,24,10,10,0,0,1,1,0,0
장흥,272,251,174,41,24,26,12,3,3,2,125,112,55,17,13,0,76,76,30,30,9,0,0,0,2,0,0
강진,225,216,166,27,10,8,5,1,0,2,146,137,40,20,0,2,51,47,20,15,2,0,0,0,1,0,0
해남,352,304,255,35,28,20,12,x,0,0,308,292,110,60,20,0,102,96,40,25,39,0,0,0,5,0,0
영암,470,406,209,101,35,25,20,6,0,3,294,218,65,30,11,0,99,91,26,20,15,0,0,0,5,0,0
무안,760,627,284,82,51,55,23,2,0,0,218,192,68,67,19,0,101,97,24,20,21,10,10,0,1,0,0
함평,278,235,170,60,8,5,0,1,1,1,145,122,42,25,3,0,133,120,35,40,20,0,3,0,3,0,0
영광,859,830,317,107,133,85,46,102,40,143,231,185,65,20,0,0,285,280,100,50,56,50,50,4,2,0,0
장성,371,308,167,33,30,9,22,6,0,2,275,267,76,70,22,0,38,33,10,5,0,3,0,0,0,0,0
완도,213,194,155,21,9,20,20,6,0,4,176,153,57,30,21,0,154,146,50,30,35,30,0,1,2,0,0
진도,189,173,163,18,8,5,4,0,0,0,135,116,52,21,4,0,55,51,30,20,15,0,0,0,3,0,0
신안,232,194,161,867,15,15,5,2,0,0,199,177,64,35,8,1,48,43,15,5,0,0,0,3,8,1,0
