년월,충전속도,서울,경기,인천,경상,전라,충청,강원,제주,합계
2024-12,완속,56070,20513,102272,11481,41015,32713,79228,6264,349556
2024-12,급속,4545,1836,10112,2337,6232,5872,11345,2297,44576
2024-11,완속,55617,20003,99689,11237,39615,32179,76708,6258,341306
2024-11,급속,4584,1792,9778,2281,6020,5732,11120,2261,43568
2024-10,완속,55028,19293,97333,11012,38786,31371,75307,6255,334385
2024-10,급속,4496,1768,9634,2291,5998,5695,11030,2234,43146
2024-09,완속,54014,18757,94429,10835,38069,30598,73968,6133,326803
2024-09,급속,4770,1745,9803,2274,5866,5636,10902,2228,43224
2024-08,완속,53431,18472,92350,10709,37755,29932,73288,5930,321867
2024-08,급속,4751,1724,9682,2258,5812,5575,10858,2222,42882
2024-07,완속,52694,17968,90194,10535,37103,29064,71805,5850,315213
2024-07,급속,4706,1680,9480,2243,5710,5418,10539,2178,41954
2024-06,완속,52099,17852,88933,10306,36595,28560,70422,5808,310575
2024-06,급속,4656,1617,9235,2171,5544,5312,10220,2206,40961
2024-05,완속,51328,17471,86561,10126,36037,28009,69000,5824,304356
2024-05,급속,4626,1561,9028,2158,5441,5149,10022,2192,40177
2024-04,완속,50587,17278,84208,9895,35038,27198,67425,5851,297480
2024-04,급속,4463,1446,8352,2102,5159,4962,9748,2173,38405
2024-03,완속,48911,16379,80391,9635,33932,25946,64904,5776,285874
2024-03,급속,4302,1421,8070,2065,5003,4839,9543,2137,37380
2024-02,완속,47124,15290,76963,9193,32765,24823,63287,5659,275104
2024-02,급속,4268,1391,7949,2034,4839,4546,9294,2097,36418
2024-01,완속,46005,14935,75043,8950,31525,24103,61936,5614,268111
2024-01,급속,4147,1334,7647,1995,4649,4409,9034,2076,35291
2023-12,완속,44480,14202,69930,8555,29634,22824,58658,5463,253746
2023-12,급속,4079,1287,7434,1960,4566,4220,8788,2068,34402
2023-06,완속,31880,8559,46938,5245,19814,15176,40920,4059,172591
2023-06,급속,2211,819,3649,1179,2793,2694,5162,1850,20357
2022-12,완속,31880,8559,46938,5245,19814,15176,40920,4059,172591
2022-12,급속,2211,819,3649,1179,2793,2694,5162,1850,20357
2022-06,완속,20585,4460,27577,3015,11415,9988,25500,3648,106188
2022-06,급속,1805,614,2981,957,2320,2232,4318,1598,16825
2021-12,완속,13236,3326,20211,2295,8678,7819,19977,3526,79068
2021-12,급속,1621,523,2681,869,1972,2061,3829,1417,14973
2021-06,완속,8534,2285,16087,1898,7330,6633,16619,3366,62752
2021-06,급속,1388,425,2369,822,1686,1788,3328,1320,13126
2020-12,완속,3268,915,6220,1039,3498,3716,5657,2374,26687
2020-12,급속,763,232,1377,595,980,1120,2027,933,8027
