sido,sigungu,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
경상남도,창원,2252.0,2370.94,2374.6,2470.72,2447.27,2490.18,2564.31,2689.12,2630.86,2624.88,2768.16,2740.25,2744.47,2882.87,2802.85,2935.0,2816.5,2945.69,2993.36
경상남도,진주,2279.0,2363.05,2458.55,2413.29,2475.1,2614.85,2678.85,2658.42,2659.69,2713.78,2773.71,2859.69,2872.3,2762.72,2817.22,2929.06,2866.71,2859.94,2988.88
경상남도,통영,321.0,326.49,337.34,344.64,347.21,366.87,377.7,363.27,368.62,388.65,397.01,388.2,405.82,389.8,416.04,406.37,422.11,426.31,410.43
경상남도,사천,243.0,255.5,255.8,261.33,274.84,277.93,283.56,287.63,288.62,298.34,288.47,293.68,304.37,311.15,314.94,300.49,309.9,314.95,317.61
경상남도,김해,853.0,890.38,908.07,935.27,935.43,938.73,997.55,992.18,1018.32,999.56,1048.98,1032.93,1073.35,1075.43,1050.66,1057.23,1110.94,1130.28,1128.4
경상남도,밀양,431.0,433.16,462.66,471.23,463.3,472.87,481.07,511.72,513.79,525.54,522.12,542.15,519.63,527.37,538.76,553.71,544.13,559.03,558.18
경상남도,거제,529.0,538.74,562.82,576.94,582.31,607.85,601.96,603.09,633.01,643.32,654.92,657.19,643.42,670.99,676.61,661.13,670.64,679.81,707.89
경상남도,양산,1088.0,1155.82,1157.05,1175.61,1230.88,1225.15,1260.68,1256.1,1290.28,1300.77,1328.15,1299.0,1323.49,1384.72,1387.94,1369.81,1358.59,1424.61,1440.8
경상남도,의령,105.0,105.25,112.93,112.6,116.59,121.39,117.82,122.04,127.2,128.42,127.51,131.89,130.57,130.43,129.94,131.29,135.68,135.35,136.33
경상남도,함안,276.0,277.13,295.4,302.46,313.75,302.48,307.31,311.89,328.49,326.34,340.84,328.68,333.95,354.17,344.63,351.08,345.93,362.35,368.73
경상남도,창녕,221.0,227.93,228.82,233.07,246.15,251.34,257.1,255.4,257.63,270.22,273.2,264.84,277.56,274.06,284.14,281.58,285.1,292.95,292.22
경상남도,고성,194.0,198.74,200.96,210.39,212.03,220.0,219.52,227.31,233.93,232.14,238.29,238.29,246.52,239.85,247.96,248.36,251.03,247.94,249.84
경상남도,남해,172.0,181.01,187.23,185.89,190.77,192.1,195.53,202.14,204.63,205.72,208.17,206.44,209.68,217.53,222.54,222.63,219.21,217.61,227.01
경상남도,하동,167.0,175.36,174.36,180.28,186.31,191.81,192.19,199.21,201.64,195.89,201.55,206.34,208.99,202.73,209.16,209.8,219.32,216.84,213.13
경상남도,산청,138.0,145.43,142.06,146.17,149.42,156.01,162.71,162.44,165.8,168.65,165.43,165.51,166.13,171.45,168.95,178.92,173.01,176.57,178.35
경상남도,함양,124.0,127.5,129.75,130.58,136.34,143.74,143.27,140.1,143.81,151.38,154.43,155.84,149.8,154.13,159.76,160.81,154.71,155.83,158.22
경상남도,거창,191.0,194.69,198.95,205.45,212.29,220.37,219.16,216.74,223.25,223.71,229.92,233.72,240.56,237.37,242.05,244.81,240.83,248.63,252.91
경상남도,합천,197.0,207.21,202.61,207.74,216.53,227.67,220.81,235.15,227.72,233.45,236.16,243.32,237.66,242.12,245.99,246.04,247.29,257.95,261.76
