sido,sigungu,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
인천광역시,강화군,2090,2237.08,2414.3,2475.9,2651.28,2727.1,2850.48,2923.5,3001.24,2951.63,3018.93,3077.88,3131.05,3221.33,3321.14,3365.63,3423.8,3365.45,3447.65
인천광역시,계양구,5381,6757.33,7899.47,8851.63,10013.52,10812.13,11760.94,11970.96,12740.2,13570.28,14411.41,14170.32,14892.08,15504.48,15918.74,16656.61,16844.95,17872.02,18191.82
인천광역시,남동구,4569,5142.91,5738.31,6414.61,6758.29,7309.01,7658.12,8159.75,8184.71,8902.62,8995.38,9210.47,9742.77,9971.88,9852.11,10042.51,10511.36,10336.38,10592.75
인천광역시,동구,277,317.04,360.63,396.32,421.1,451.9,465.13,500.61,523.7,524.49,552.59,573.71,575.27,602.91,631.53,644.38,651.21,647.39,669.49
인천광역시,미추홀구,1818,2218.93,2526.72,2728.18,3041.63,3232.67,3518.32,3731.38,3771.66,4143.8,4163.71,4392.55,4550.46,4609.56,4876.15,4863.06,5045.83,5265.16,5291.57
인천광역시,부평구,2890,3174.92,3524.74,3941.81,4175.96,4301.03,4450.45,4573.65,4955.45,4959.79,5255.16,5340.32,5652.75,5785.61,5690.91,6037.84,5863.83,6123.93,6234.93
인천광역시,서구,4225,5133.02,5645.15,6302.07,6850.59,7229.6,7547.42,8386.74,8506.48,8770.41,9056.37,9438.31,10126.59,10107.94,10648.2,10361.73,10592.77,11136.42,11670.1
인천광역시,연수구,3552,4421.77,5040.56,5665.72,6199.77,6766.52,7373.43,8061.15,8175.37,8467.03,9247.73,9576.43,9417.8,10133.62,10448.83,10446.07,11168.63,11163.04,11218.46
인천광역시,옹진군,123,141.43,155.13,165.89,184.51,196.67,202.98,207.73,220.81,223.95,238.87,235.52,245.71,254.58,267.21,259.75,270.75,279.98,286.82
인천광역시,중구,1317,1503.42,1730.64,1889.46,2072.21,2180.06,2414.53,2570.88,2688.59,2796.82,2921.92,2865.31,2996.86,3195.06,3266.54,3266.77,3279.06,3516.29,3546.91
