등록연도,시군구명,연료별,용도별,승용차수,승합차수,특수차수,화물차수
2022,양평군,기타연료,비사업용,0,67,54,228
2022,양평군,기타연료,사업용,0,0,0,12
2022,양평군,수소,비사업용,22,0,0,0
2022,양평군,엘피지,비사업용,2768,139,3,371
2022,양평군,엘피지,사업용,261,1,0,20
2022,양평군,전기,비사업용,794,0,0,211
2022,양평군,전기,사업용,43,6,0,47
2022,양평군,하이브리드(LPG+전기),비사업용,37,0,0,0
2022,양평군,하이브리드(경유+전기),비사업용,50,0,0,0
2022,양평군,하이브리드(경유+전기),사업용,2,0,0,0
2022,양평군,하이브리드(휘발유+전기),비사업용,2503,0,0,0
2022,양평군,하이브리드(휘발유+전기),사업용,7,0,0,0
2022,양평군,휘발유,비사업용,10223,10,2,155
2022,양평군,휘발유,사업용,1,0,0,0
2022,양평군,휘발유(무연),비사업용,17693,21,0,36
2022,양평군,휘발유(무연),사업용,50,0,0,0
2022,양평군,휘발유(유연),비사업용,13,0,0,0
2022,광주시,휘발유(무연),비사업용,63676,32,0,54
2022,광주시,휘발유(무연),사업용,63,0,0,0
2022,광주시,휘발유(유연),비사업용,66,0,0,0
2022,양주시,CNG,비사업용,16,0,0,3
2022,양주시,CNG,사업용,0,123,0,0
2022,양주시,경유,비사업용,28636,3440,348,17179
2022,양주시,경유,사업용,25,287,211,1999
2022,양주시,기타연료,비사업용,1,109,64,306
2022,양주시,기타연료,사업용,0,0,0,44
2022,양주시,수소,비사업용,39,0,0,0
2022,양주시,수소,사업용,2,0,0,0
2022,양주시,엘피지,비사업용,6217,350,6,617
2022,양주시,엘피지,사업용,405,1,0,68
2022,양주시,전기,비사업용,856,3,0,308
2022,양주시,전기,사업용,134,28,0,161
2022,양주시,하이브리드(LPG+전기),비사업용,52,0,0,0
2022,양주시,하이브리드(경유+전기),비사업용,64,0,0,0
2022,양주시,하이브리드(휘발유+전기),비사업용,4259,0,0,0
2022,양주시,하이브리드(휘발유+전기),사업용,18,0,0,0
2022,양주시,휘발유,비사업용,17953,18,1,180
2022,양주시,휘발유,사업용,11,0,0,0
2022,양주시,휘발유(무연),비사업용,37712,19,0,18
2022,양주시,휘발유(무연),사업용,72,0,0,0
2022,양주시,휘발유(유연),비사업용,44,0,0,0
2022,포천시,CNG,비사업용,5,2,0,3
2022,포천시,CNG,사업용,0,151,0,0
2022,포천시,경유,비사업용,20379,2746,261,19631
2022,연천군,기타연료,비사업용,0,19,20,101
2022,연천군,기타연료,사업용,0,0,0,558
2022,연천군,수소,비사업용,5,0,0,0
2022,연천군,엘피지,비사업용,1089,54,1,146
2022,연천군,엘피지,사업용,66,0,0,10
2022,연천군,전기,비사업용,199,0,1,151
2022,연천군,전기,사업용,7,0,0,28
2022,연천군,하이브리드(LPG+전기),비사업용,9,0,0,0
2022,연천군,하이브리드(경유+전기),비사업용,10,0,0,0
2022,연천군,하이브리드(휘발유+전기),비사업용,693,0,0,0
2022,연천군,하이브리드(휘발유+전기),사업용,1,0,0,0
2022,연천군,휘발유,비사업용,2823,8,0,46
2022,연천군,휘발유,사업용,8,0,0,0
2022,연천군,휘발유(무연),비사업용,6548,2,0,7
2022,연천군,휘발유(무연),사업용,4,0,0,0
2022,연천군,휘발유(유연),비사업용,7,0,0,0
2022,가평군,CNG,비사업용,3,0,0,0
2022,가평군,경유,비사업용,7927,1175,123,6184
2022,가평군,경유,사업용,0,146,41,163
2022,가평군,기타연료,비사업용,0,38,16,164
2022,가평군,기타연료,사업용,0,0,0,1
2022,가평군,수소,비사업용,2,0,0,0
2022,가평군,엘피지,비사업용,1417,66,1,174
2022,가평군,엘피지,사업용,139,0,0,10
2022,가평군,전기,비사업용,306,0,0,116
2022,가평군,전기,사업용,20,0,0,32
2022,가평군,하이브리드(LPG+전기),비사업용,17,0,0,0
2022,가평군,하이브리드(경유+전기),비사업용,15,0,0,0
2022,가평군,하이브리드(휘발유+전기),비사업용,979,0,0,0
2022,가평군,휘발유,비사업용,4709,6,0,68
2022,가평군,휘발유(무연),비사업용,9201,10,0,15
2022,가평군,휘발유(무연),사업용,2,0,0,0
2022,가평군,휘발유(유연),비사업용,7,0,0,0
2022,양평군,CNG,비사업용,5,1,0,0
2022,양평군,CNG,사업용,0,9,0,1
2022,양평군,경유,비사업용,16060,1723,190,11257
2022,양평군,경유,사업용,23,647,86,722
2022,안양시 만안구,CNG,비사업용,8,1,0,0
2022,안양시 만안구,CNG,사업용,0,365,0,0
2022,안양시 만안구,경유,비사업용,21021,2147,135,8619
2022,안양시 만안구,경유,사업용,35,444,127,1391
2022,안양시 만안구,기타연료,비사업용,1,46,23,133
2022,안양시 만안구,기타연료,사업용,0,0,8,26
2022,안양시 만안구,수소,비사업용,49,0,0,0
2022,안양시 만안구,수소,사업용,1,0,0,0
2022,안양시 만안구,엘피지,비사업용,4501,269,3,444
2022,안양시 만안구,엘피지,사업용,1048,1,0,114
2022,안양시 만안구,전기,비사업용,535,0,0,123
2022,안양시 만안구,전기,사업용,122,92,0,100
2022,안양시 만안구,하이브리드(CNG+전기),사업용,0,2,0,0
2022,여주시,기타연료,사업용,0,0,0,239
2022,여주시,수소,비사업용,52,0,0,0
2022,여주시,엘피지,비사업용,3141,138,3,396
2022,여주시,엘피지,사업용,296,0,0,54
2022,여주시,전기,비사업용,489,0,0,280
2022,여주시,전기,사업용,15,3,0,54
2022,여주시,하이브리드(LPG+전기),비사업용,38,0,0,0
2022,여주시,하이브리드(경유+전기),비사업용,40,0,0,0
2022,여주시,하이브리드(휘발유+전기),비사업용,1967,0,0,0
2022,여주시,휘발유,비사업용,9108,10,1,119
2022,여주시,휘발유,사업용,5,0,0,0
2022,여주시,휘발유(무연),비사업용,20138,15,0,16
2022,여주시,휘발유(무연),사업용,30,0,0,0
2022,여주시,휘발유(유연),비사업용,13,0,0,0
2022,여주군,경유,비사업용,0,0,0,12
2022,여주군,엘피지,비사업용,1,0,0,0
2022,여주군,휘발유,비사업용,6,0,0,1
2022,연천군,CNG,비사업용,2,0,0,0
2022,연천군,CNG,사업용,0,8,0,1
2022,연천군,경유,비사업용,5945,788,107,5949
2022,연천군,경유,사업용,10,119,511,3905
