연료,수소,전기,하이브리드
차종,승용,승합,화물,특수,승용,승합,화물,특수,승용,승합,화물,특수,총합계 
1,중구,23,0,0,0,"1,591",0,52,0,"7,236",0,0,0,"8,902"
2,서구,58,0,0,0,336,1,146,0,"1,542",0,0,0,"2,083"
3,동구,47,2,0,0,"2,503",3,147,0,"6,261",0,0,0,"8,963"
4,영도구,57,0,0,0,478,74,141,0,"1,364",0,0,0,"2,114"
5,부산진구,213,40,0,0,"2,586",20,554,0,"14,259",0,1,0,"17,673"
6,동래구,122,0,0,0,"1,282",16,402,0,"5,731",0,0,0,"7,553"
7,남구,114,1,0,0,"1,252",76,383,0,"5,147",0,0,0,"6,973"
8,북구,149,0,0,0,"1,013",26,508,1,"5,035",0,0,0,"6,732"
9,해운대구,205,0,0,0,"4,025",17,509,1,"13,537",0,1,0,"18,295"
10,사하구,154,12,0,0,"1,037",12,546,0,"4,451",0,0,0,"6,212"
11,금정구,91,0,0,0,"1,278",53,369,0,"4,076",0,0,0,"5,867"
12,강서구,211,0,0,0,"2,024",7,"1,030",1,"4,348",1,0,0,"7,622"
13,연제구,113,11,0,0,"4,385",0,347,0,"15,421",2,0,0,"20,279"
14,수영구,100,0,0,0,"1,540",55,245,2,"12,994",0,0,0,"14,936"
15,사상구,145,0,0,0,815,22,658,0,"3,367",0,0,0,"5,007"
16,기장군,206,0,0,0,"1,434",97,541,2,"4,506",0,1,0,"6,787"
