시군구별,연료별,용도별,승용,승합,화물,특수,계
강화군,전기,비사업용,549 ,0 ,518 ,1 ,1068 
강화군,전기,사업용,1514 ,24 ,54 ,0 ,1592 
옹진군,전기,비사업용,102 ,0 ,58 ,0 ,160 
옹진군,전기,사업용,12 ,0 ,4 ,0 ,16 
중구,전기,비사업용,1418 ,4 ,243 ,0 ,1665 
중구,전기,사업용,81 ,26 ,118 ,0 ,225 
동구,전기,비사업용,203 ,0 ,87 ,2 ,292 
동구,전기,사업용,94 ,0 ,49 ,0 ,143 
미추홀구,전기,비사업용,1398 ,0 ,409 ,1 ,1808 
미추홀구,전기,사업용,542 ,0 ,266 ,0 ,808 
연수구,전기,비사업용,5391 ,5 ,405 ,1 ,5802 
연수구,전기,사업용,403 ,95 ,142 ,0 ,640 
남동구,전기,비사업용,4535 ,0 ,752 ,0 ,5287 
남동구,전기,사업용,1111 ,5 ,279 ,0 ,1395 
부평구,전기,비사업용,2547 ,0 ,433 ,1 ,2981 
부평구,전기,사업용,659 ,12 ,265 ,0 ,936 
계양구,전기,비사업용,829 ,1 ,886 ,1 ,1717 
계양구,전기,사업용,7105 ,0 ,211 ,0 ,7316 
서구,전기,비사업용,4363 ,7 ,1066 ,4 ,5440 
서구,전기,사업용,586 ,96 ,424 ,0 ,1106 
